Original_Index,Split,GroundTruth_CD,Predicted_CD,Error
170,Training,22.54598617553711,12.040085792541504,10.505900382995605
171,Validation,26.054529190063477,13.412632942199707,12.64189624786377
172,Training,21.67536735534668,10.169054985046387,11.506312370300293
173,Training,20.152854919433594,10.36279582977295,9.790059089660645
174,Testing,21.78485870361328,9.870338439941406,11.914520263671875
175,Training,21.543724060058594,9.52450180053711,12.019222259521484
176,Training,20.474231719970703,8.781661033630371,11.692570686340332
177,Training,24.64275550842285,11.4889554977417,13.153800010681152
178,Training,19.759199142456055,9.51081371307373,10.248385429382324
179,Training,20.335102081298828,10.18934154510498,10.145760536193848
180,Training,20.924062728881836,10.89902400970459,10.025038719177246
181,Training,22.418376922607422,10.815640449523926,11.602736473083496
182,Training,23.128921508789062,11.9634370803833,11.165484428405762
183,Training,25.594558715820312,12.443049430847168,13.151509284973145
184,Training,21.928483963012695,10.066956520080566,11.861527442932129
185,Training,19.537824630737305,10.416220664978027,9.121603965759277
186,Training,22.197662353515625,9.957871437072754,12.239790916442871
187,Testing,21.14065933227539,9.733394622802734,11.407264709472656
188,Testing,20.350481033325195,9.224907875061035,11.12557315826416
189,Testing,24.203649520874023,10.900354385375977,13.303295135498047
190,Validation,19.170854568481445,10.30623722076416,8.864617347717285
191,Testing,19.524707794189453,10.043665885925293,9.48104190826416
192,Training,19.7989559173584,12.101311683654785,7.697644233703613
193,Training,22.978057861328125,12.477458953857422,10.500598907470703
194,Training,21.502315521240234,11.610459327697754,9.89185619354248
195,Training,24.462562561035156,13.006468772888184,11.456093788146973
196,Training,21.94412612915039,10.029973030090332,11.914153099060059
197,Training,20.63336181640625,9.786462783813477,10.846899032592773
198,Training,22.92411231994629,10.534171104431152,12.389941215515137
199,Training,20.637462615966797,9.477860450744629,11.159602165222168
200,Validation,19.87713623046875,9.057854652404785,10.819281578063965
201,Validation,24.22900390625,10.978184700012207,13.250819206237793
202,Training,19.090709686279297,9.886903762817383,9.203805923461914
203,Training,19.114238739013672,10.150870323181152,8.96336841583252
204,Training,20.62737464904785,11.922820091247559,8.704554557800293
205,Testing,22.751018524169922,12.589859962463379,10.161158561706543
206,Training,22.055334091186523,10.961604118347168,11.093729972839355
207,Validation,27.75267219543457,13.103499412536621,14.64917278289795
208,Training,21.9646053314209,9.436285972595215,12.528319358825684
209,Training,20.64452362060547,9.987123489379883,10.657400131225586
210,Training,21.804798126220703,9.898659706115723,11.90613842010498
211,Training,20.882354736328125,9.243521690368652,11.638833045959473
212,Validation,20.383466720581055,9.879655838012695,10.50381088256836
213,Validation,25.554401397705078,11.041043281555176,14.513358116149902
214,Testing,19.562345504760742,10.32929515838623,9.233050346374512
215,Validation,19.654277801513672,10.49096393585205,9.163313865661621
216,Validation,30.790008544921875,11.03012752532959,19.759881019592285
217,Validation,23.97982406616211,10.27368450164795,13.70613956451416
218,Training,31.621610641479492,14.737763404846191,16.8838472366333
219,Training,27.977163314819336,13.914727210998535,14.0624361038208
220,Training,23.915813446044922,12.136171340942383,11.779642105102539
221,Training,21.43248176574707,10.601442337036133,10.831039428710938
222,Training,21.547500610351562,9.729666709899902,11.81783390045166
223,Training,20.815757751464844,9.13529109954834,11.680466651916504
224,Training,21.87788963317871,10.78303050994873,11.09485912322998
225,Training,20.670955657958984,13.58334732055664,7.087608337402344
226,Validation,22.894845962524414,14.203530311584473,8.691315650939941
227,Training,25.093475341796875,10.638195991516113,14.455279350280762
228,Training,18.06186294555664,10.80077075958252,7.261092185974121
229,Training,17.102054595947266,11.366289138793945,5.73576545715332
230,Validation,21.55698585510254,11.379088401794434,10.177897453308105
231,Training,24.79335594177246,13.517842292785645,11.275513648986816
232,Training,20.78700828552246,10.136696815490723,10.650311470031738
233,Training,20.750476837158203,9.945645332336426,10.804831504821777
234,Training,21.725582122802734,9.827004432678223,11.898577690124512
235,Testing,21.152597427368164,9.892630577087402,11.259966850280762
236,Validation,19.535388946533203,8.67270565032959,10.862683296203613
237,Training,21.09408950805664,10.548027992248535,10.546061515808105
238,Training,20.895017623901367,9.971431732177734,10.923585891723633
239,Training,18.63987922668457,10.13973331451416,8.50014591217041
240,Training,19.958877563476562,10.726880073547363,9.2319974899292
241,Testing,20.43044662475586,11.88266658782959,8.54778003692627
242,Training,21.440471649169922,12.046307563781738,9.394164085388184
243,Testing,23.882797241210938,13.218960762023926,10.663836479187012
244,Training,21.030059814453125,10.283933639526367,10.746126174926758
245,Training,20.880138397216797,10.719199180603027,10.16093921661377
246,Training,21.37631607055664,9.900734901428223,11.475581169128418
247,Training,20.126911163330078,8.925261497497559,11.20164966583252
248,Training,21.491010665893555,8.582695960998535,12.90831470489502
249,Training,24.460710525512695,10.719324111938477,13.741386413574219
250,Training,19.491647720336914,9.734281539916992,9.757366180419922
251,Validation,19.82937240600586,10.216758728027344,9.612613677978516
252,Testing,19.839736938476562,10.699628829956055,9.140108108520508
253,Training,20.676069259643555,11.19079303741455,9.485276222229004
254,Validation,20.576425552368164,12.667017936706543,7.909407615661621
255,Training,26.717384338378906,12.772189140319824,13.945195198059082
256,Validation,21.73322868347168,9.538466453552246,12.194762229919434
257,Testing,22.08850860595703,10.493447303771973,11.595061302185059
258,Training,21.243406295776367,10.360346794128418,10.88305950164795
259,Validation,19.72416114807129,8.877562522888184,10.846598625183105
260,Validation,20.584026336669922,9.643412590026855,10.940613746643066
261,Training,23.25406265258789,11.133668899536133,12.120393753051758
262,Training,19.109697341918945,10.010504722595215,9.09919261932373
263,Testing,18.771135330200195,10.246188163757324,8.524947166442871
264,Testing,20.069398880004883,11.306971549987793,8.76242733001709
265,Training,21.533401489257812,11.99545955657959,9.537941932678223
266,Training,21.29513168334961,12.133133888244629,9.16199779510498
267,Validation,25.806047439575195,13.347735404968262,12.458312034606934
268,Training,21.14889144897461,9.950020790100098,11.198870658874512
269,Validation,20.721878051757812,10.233139991760254,10.488738059997559
270,Testing,20.686426162719727,9.961075782775879,10.725350379943848
271,Training,21.00736427307129,9.28621768951416,11.721146583557129
272,Training,20.338481903076172,8.915143966674805,11.423337936401367
273,Testing,23.20915985107422,10.578801155090332,12.630358695983887
274,Training,19.0537109375,10.093745231628418,8.959965705871582
275,Training,19.41860580444336,10.00645923614502,9.41214656829834
276,Testing,20.698074340820312,12.076196670532227,8.621877670288086
277,Training,22.24785041809082,11.967788696289062,10.280061721801758
278,Training,21.518402099609375,11.124726295471191,10.393675804138184
279,Validation,26.783891677856445,13.231463432312012,13.552428245544434
280,Training,21.39222526550293,9.866016387939453,11.526208877563477
281,Training,20.81072425842285,10.077556610107422,10.73316764831543
282,Training,20.463510513305664,10.278912544250488,10.184597969055176
283,Training,21.59981346130371,9.494507789611816,12.105305671691895
284,Training,20.48273468017578,9.466682434082031,11.01605224609375
285,Training,25.988861083984375,11.087586402893066,14.901274681091309
286,Training,19.37108612060547,9.888257026672363,9.482829093933105
287,Training,19.389707565307617,10.808456420898438,8.58125114440918
288,Validation,26.081491470336914,10.66671371459961,15.414777755737305
289,Training,23.175212860107422,10.61662769317627,12.558585166931152
290,Training,33.824764251708984,15.5924654006958,18.232298851013184
291,Training,25.844181060791016,14.00802993774414,11.836151123046875
292,Validation,23.454896926879883,12.27524471282959,11.179652214050293
293,Testing,22.304658889770508,10.063456535339355,12.241202354431152
294,Training,21.257802963256836,10.317866325378418,10.939936637878418
295,Validation,20.703380584716797,9.615071296691895,11.088309288024902
296,Training,21.500844955444336,11.077073097229004,10.423771858215332
297,Training,20.805925369262695,13.303974151611328,7.501951217651367
298,Training,18.36247444152832,13.36304759979248,4.99942684173584
299,Training,24.352985382080078,10.621870040893555,13.731115341186523
300,Validation,18.156322479248047,10.681905746459961,7.474416732788086
301,Training,17.97528648376465,11.168347358703613,6.806939125061035
302,Training,20.057504653930664,12.183685302734375,7.873819351196289
303,Validation,23.464946746826172,13.513476371765137,9.951470375061035
304,Training,21.030147552490234,9.782380104064941,11.247767448425293
305,Training,21.761003494262695,10.360913276672363,11.400090217590332
306,Testing,22.1136531829834,10.216773986816406,11.896879196166992
307,Training,21.517501831054688,9.80159854888916,11.715903282165527
