Original_Index,Split,GroundTruth_CD,Predicted_CD,Error,Error_Class
263,Testing,21.14520836,13.42426205,7.720946312,3
264,Testing,8.945062637,9.03990078,0.0948381424,0
265,Training,10.5965786,9.275144577,1.321434021,
266,Training,8.523568153,8.899926186,0.3763580322,
267,Validation,12.00047207,10.28012562,1.720346451,
268,Training,8.058891296,8.110001564,0.05111026764,
269,Validation,8.853862762,8.628519058,0.2253437042,
270,Testing,8.681494713,7.554485798,1.127008915,0
271,Training,7.631620407,6.877132416,0.7544879913,
272,Training,7.774985313,6.90379858,0.8711867332,
273,Testing,10.83655834,8.552201271,2.284357071,1
274,Training,9.273225784,9.586152077,0.3129262924,
275,Training,9.401846886,8.023701668,1.378145218,
276,Testing,9.33572197,8.475935936,0.8597860336,0
277,Training,7.751200199,8.267094612,0.515894413,
278,Training,8.288928032,8.280686378,0.008241653442,
279,Validation,8.747110367,10.89003181,2.142921448,
280,Training,8.828238487,7.95898819,0.8692502975,
281,Training,8.000054359,7.785964012,0.2140903473,
282,Training,9.990902901,7.227574825,2.763328075,
283,Training,7.869624615,6.442166328,1.427458286,
284,Training,7.989814281,8.431134224,0.4413199425,
285,Training,11.20976925,9.003376961,2.206392288,
286,Training,8.198537827,6.813437462,1.385100365,
287,Training,8.290290833,6.875424385,1.414866447,
288,Validation,7.883518219,8.297966003,0.4144477844,
289,Training,7.557826519,6.510070801,1.047755718,
290,Training,8.573238373,6.393849373,2.179389,
291,Training,10.03887367,9.960595131,0.07827854156,
292,Validation,7.732480049,7.571794987,0.1606850624,
293,Testing,9.375088692,8.759861946,0.6152267456,0
294,Training,10.82883358,9.986582756,0.842250824,
295,Validation,9.55796051,7.064284325,2.493676186,
296,Training,7.658588409,6.719141006,0.939447403,
297,Training,12.47764874,9.009799957,3.467848778,
298,Training,8.300590515,6.04851532,2.252075195,
299,Training,8.367816925,7.830770493,0.5370464325,
300,Validation,8.463724136,9.263407707,0.7996835709,
301,Training,8.041913986,7.196852684,0.8450613022,
302,Training,9.944633484,9.217101097,0.7275323868,
303,Validation,11.1388073,10.58420849,0.5545988083,
304,Training,10.95934582,8.984845161,1.974500656,
305,Training,10.02201557,8.453001022,1.569014549,
306,Testing,10.53081322,10.34814739,0.1826658249,1
307,Training,9.461715698,8.152162552,1.309553146,
308,Testing,8.499548912,6.054215431,2.445333481,0
309,Validation,10.74927902,8.792448997,1.956830025,
310,Training,7.579180717,7.500655174,0.07852554321,
311,Training,6.740190983,6.708190441,0.03200054169,
312,Training,10.55600452,9.984855652,0.5711488724,
313,Testing,8.663625717,9.548129082,0.8845033646,0
314,Training,9.113990784,9.630999565,0.5170087814,
315,Testing,11.14081097,11.15834332,0.01753234863,1
